model_type,pool_index,layer,key_task,is_self,attention,input_attention,output_attention,same_attention,different_attention
trained,0,2,39,False,0.02241258956200909,0.0043142721533513395,0.018098317785188556,0.02135311819326419,0.02350569569638797
trained,0,2,40,False,0.028155433188658208,0.00434584991671727,0.02380958353751339,0.028311526307310812,0.027911927737295623
trained,0,2,41,False,0.027533844229765236,0.005209139813814545,0.022324704623315483,0.02812846959896491,0.02679317091640673
trained,0,2,42,False,0.026703655545134097,0.004733586951260804,0.021970068686641753,0.02323499945450132,0.029669608164956604
trained,0,2,43,False,0.02946291700936854,0.005286706589686219,0.024176210339646786,0.03157663827055487,0.02771154809743166
trained,0,2,44,False,0.030509893607813865,0.004905167894321494,0.02560472523327917,0.030505713453749195,0.030514073121594265
trained,0,2,45,False,0.029662952234502882,0.006187569455505582,0.02347538192407228,0.02989537388618503,0.029482178803947236
trained,0,2,46,False,0.033735226723365486,0.005155144663149258,0.02858008144539781,0.03326047267764807,0.034092917221866234
trained,0,2,47,False,0.03386652219342068,0.008075011439359514,0.025791510241106153,0.03194923522985644,0.035724814780629596
trained,0,2,48,False,0.03063744871178642,0.006010926448652754,0.024626522121252492,0.028958710244120056,0.032481309057014886
trained,0,2,49,True,0.2971558346034726,0.2971558346034726,0.0,nan,nan
trained,0,3,0,False,0.020110806901357137,0.006041913315129932,0.014068893551666406,0.022852367827790265,0.016904574471636343
trained,0,3,1,False,0.012422769024851732,0.008154000264767092,0.004268768696420011,0.014286566374531543,0.010375647248364372
trained,0,3,2,False,0.012006741599179804,0.007924968733277638,0.004081772807694506,0.014330934614859403,0.009823408852698225
trained,0,3,3,False,0.0146989775748807,0.010638386129357968,0.004060591516463319,0.01708156707808113,0.011731190970494297
trained,0,3,4,False,0.013335940690012649,0.009152735525276512,0.004183205168374116,0.014738301814966753,0.012210101499156632
trained,0,3,5,False,0.014777501215576194,0.010629229684127495,0.0041482714950689115,0.01500365808658274,0.014529099497089132
trained,0,3,6,False,0.014043417468201369,0.009978972884709947,0.004064444470714079,0.015394612981253886,0.01269222226983402
trained,0,3,7,False,0.015984317287802696,0.011444714793469757,0.004539602692602784,0.016498798889669535,0.015401238327225049
trained,0,3,8,False,0.015329201356507838,0.010501583135919645,0.004827618246054044,0.019040319677018983,0.011378656066353283
trained,0,3,9,False,0.014085349917877465,0.009477620362304151,0.004607729459166876,0.015848982893719762,0.012577315751949081
trained,0,3,10,False,0.016454655007692054,0.011387624086637516,0.005067030979262199,0.01869670074665919,0.014818567468004452
trained,0,3,11,False,0.016078579355962574,0.011196873827429954,0.0048817053884704364,0.01874804734528633,0.013795990429386711
trained,0,3,12,False,0.01966252620331943,0.014586104611225892,0.005076421173725976,0.020845819017919362,0.01836284350023651
trained,0,3,13,False,0.015824987582163885,0.010028883334598504,0.0057961040383816,0.018279627938682097,0.013370347369345836
trained,0,3,14,False,0.01676414714893326,0.011434611456934363,0.005329535710188793,0.0176104364665142,0.016105922314131424
trained,0,3,15,False,0.017855285259429365,0.012364995665848255,0.005490289138833759,0.021742357707839333,0.014634567445942333
trained,0,3,16,False,0.018042521871393546,0.012245633319253102,0.005796888704935554,0.02081576810178376,0.015269276460458059
trained,0,3,17,False,0.017291091760853305,0.011496318176796194,0.005794773784145946,0.022774345069874784,0.012747824404920852
trained,0,3,18,False,0.019906152709154412,0.01392182293056976,0.005984329698549118,0.024330251159222698,0.016240471308784827
