model_type,layer,position,metric,control,mean,stderr,ci95_low,ci95_high,num_pools
trained,6,49,component_accuracy,actual,0.97265625,0.01049773144309707,0.948908731622866,0.996403768377134,10
trained,6,49,component_accuracy,shuffled,0.50234375,0.0152760514333984,0.467786920830664,0.536900579169336,10
untrained,0,5,beta_r2,actual,-0.038469936698675156,0.013085448953724012,-0.0680712787777722,-0.008868594619578105,10
untrained,0,5,beta_r2,shuffled,-0.053034596517682074,0.011703397633264091,-0.079509521302846,-0.02655967173251815,10
untrained,0,5,component_accuracy,actual,0.49921875,0.014659862442747468,0.4660558371695024,0.5323816628304976,10
untrained,0,5,component_accuracy,shuffled,0.50703125,0.013900006401127622,0.4755872509567483,0.5384752490432518,10
untrained,0,10,beta_r2,actual,-0.04291031090542674,0.010964987561848818,-0.06771483605845627,-0.018105785752397213,10
untrained,0,10,beta_r2,shuffled,-0.03729231227189302,0.011663396297957089,-0.06367674774987071,-0.01090787679391533,10
untrained,0,10,component_accuracy,actual,0.51484375,0.01624006440382173,0.47810617198459054,0.5515813280154095,10
untrained,0,10,component_accuracy,shuffled,0.490625,0.01301041249666333,0.4611934021797138,0.5200565978202862,10
untrained,0,20,beta_r2,actual,-0.04838385954499245,0.008785181131512831,-0.06825731996812384,-0.028510399121861058,10
untrained,0,20,beta_r2,shuffled,-0.047089878283441064,0.008423198365953741,-0.06614447680065345,-0.028035279766228674,10
untrained,0,20,component_accuracy,actual,0.52109375,0.009607222263383706,0.4993607033422922,0.5428267966577078,10
untrained,0,20,component_accuracy,shuffled,0.48359375,0.013403238783810176,0.4532735173805091,0.5139139826194908,10
untrained,0,30,beta_r2,actual,-0.07375718643888832,0.01454677800613719,-0.10666428450110696,-0.04085008837666968,10
untrained,0,30,beta_r2,shuffled,-0.03595636980608106,0.013780772408529242,-0.06713064281892736,-0.004782096793234762,10
untrained,0,30,component_accuracy,actual,0.49375,0.010912670229040083,0.46906382487612225,0.5184361751238777,10
untrained,0,30,component_accuracy,shuffled,0.52109375,0.02225153367451456,0.47075728371495146,0.5714302162850486,10
untrained,0,40,beta_r2,actual,-0.07190869888290763,0.01243133254793932,-0.10003032684935502,-0.04378707091646024,10
untrained,0,40,beta_r2,shuffled,-0.0452962574083358,0.0101524283284989,-0.068262645871445,-0.022329868945226608,10
untrained,0,40,component_accuracy,actual,0.47890625,0.017354382376610557,0.43964790960081146,0.5181645903991885,10
untrained,0,40,component_accuracy,shuffled,0.49453125,0.014594954447085471,0.4615151692568121,0.5275473307431879,10
untrained,0,49,beta_r2,actual,-0.07499553002417088,0.01720902401756108,-0.11392504697026301,-0.03606601307807874,10
untrained,0,49,beta_r2,shuffled,-0.04729643641039729,0.01025316205659338,-0.07049070039805078,-0.0241021724227438,10
untrained,0,49,component_accuracy,actual,0.48046875,0.01374299458537371,0.4493799363603999,0.5115575636396,10
untrained,0,49,component_accuracy,shuffled,0.521875,0.016788293188839787,0.4838972423117097,0.5598527576882902,10
untrained,1,5,beta_r2,actual,-0.011310382094234229,0.014874520015106151,-0.044958884089591866,0.022338119901123412,10
untrained,1,5,beta_r2,shuffled,-0.06547600142657757,0.00628872316802244,-0.07970208158597455,-0.05124992126718059,10
untrained,1,5,component_accuracy,actual,0.50625,0.011692679333668566,0.47979932169303907,0.5327006783069609,10
untrained,1,5,component_accuracy,shuffled,0.5296875,0.01710840386005921,0.4909856016639226,0.5683893983360774,10
untrained,1,10,beta_r2,actual,-0.01398476105168811,0.013322588582233131,-0.04412255024000037,0.01615302813662415,10
untrained,1,10,beta_r2,shuffled,-0.0630631532985717,0.014375341834986287,-0.09558243579825862,-0.030543870798884785,10
untrained,1,10,component_accuracy,actual,0.51875,0.01759306849380681,0.4789517140911355,0.5585482859088645,10
untrained,1,10,component_accuracy,shuffled,0.4890625,0.023558714328955503,0.4357689856344366,0.5423560143655635,10
untrained,1,20,beta_r2,actual,-0.023295456427149475,0.01082459078231816,-0.04778238199972992,0.0011914691454309768,10
untrained,1,20,beta_r2,shuffled,-0.05566763300448656,0.008510842602239532,-0.07492049655859083,-0.03641476945038229,10
untrained,1,20,component_accuracy,actual,0.52265625,0.00912945215779068,0.5020039944088304,0.5433085055911697,10
untrained,1,20,component_accuracy,shuffled,0.50546875,0.0075520833333333325,0.4883847505934511,0.5225527494065489,10
untrained,1,30,beta_r2,actual,-0.04773167846724391,0.016822574655234648,-0.08578698622029052,-0.009676370714197309,10
untrained,1,30,beta_r2,shuffled,-0.049523000698536636,0.010237891831436613,-0.07268272103697421,-0.02636328036009907,10
untrained,1,30,component_accuracy,actual,0.5046875,0.012001790231044699,0.47753756426244065,0.5318374357375593,10
untrained,1,30,component_accuracy,shuffled,0.50546875,0.01182245777376684,0.47872449246519405,0.532213007534806,10
untrained,1,40,beta_r2,actual,-0.04868573807179928,0.013522327717015158,-0.07927536857454981,-0.018096107569048746,10
untrained,1,40,beta_r2,shuffled,-0.06020094202831387,0.009622675654540691,-0.081968946685517,-0.03843293737111074,10
untrained,1,40,component_accuracy,actual,0.4890625,0.01647842918703789,0.45178570338287927,0.5263392966171208,10
untrained,1,40,component_accuracy,shuffled,0.5171875,0.01495072926500763,0.48336660070410625,0.5510083992958937,10
untrained,1,49,beta_r2,actual,-0.05316705582663417,0.019151558834315508,-0.09649089182243223,-0.009843219830836102,10
untrained,1,49,beta_r2,shuffled,-0.07336843889206648,0.010538005173858448,-0.09720706277771492,-0.04952981500641805,10
untrained,1,49,component_accuracy,actual,0.4859375,0.01180810838411941,0.4592257030397668,0.5126492969602333,10
untrained,1,49,component_accuracy,shuffled,0.490625,0.01301041249666333,0.4611934021797138,0.5200565978202862,10
untrained,2,5,beta_r2,actual,0.013466087635606527,0.01696325872055607,-0.0249074695834985,0.051839644854711556,10
untrained,2,5,beta_r2,shuffled,-0.061808837973512706,0.012772049035448272,-0.09070122018266191,-0.03291645576436349,10
untrained,2,5,component_accuracy,actual,0.521875,0.01357168147999519,0.4911737235288131,0.5525762764711868,10
untrained,2,5,component_accuracy,shuffled,0.4765625,0.008398185154477655,0.4575644852982928,0.4955605147017072,10
untrained,2,10,beta_r2,actual,0.01028709770180285,0.01740261289169653,-0.02908034770255284,0.049654543106158536,10
untrained,2,10,beta_r2,shuffled,-0.03703715091105551,0.015958341006407764,-0.07313742632507714,-0.0009368754970338691,10
untrained,2,10,component_accuracy,actual,0.53125,0.014914396940912867,0.4975112901312983,0.5649887098687016,10
untrained,2,10,component_accuracy,shuffled,0.4875,0.018087245160609725,0.44658380880463955,0.5284161911953604,10
untrained,2,20,beta_r2,actual,-1.9265804439783096e-05,0.014335333223257186,-0.0324480425365301,0.032409510927650535,10
untrained,2,20,beta_r2,shuffled,-0.037881206488236785,0.0083940511895219,-0.05686986951150854,-0.01889254346496503,10
untrained,2,20,component_accuracy,actual,0.534375,0.011060812802914217,0.5093537030915175,0.5593962969084826,10
