model_type,pool_index,layer,position,metric,control,score,num_prompts
trained,1,0,30,component_accuracy,shuffled,0.5625,128
trained,1,0,40,beta_r2,actual,-0.09604959934949875,128
trained,1,0,40,beta_r2,shuffled,-0.023842474445700645,128
trained,1,0,40,component_accuracy,actual,0.4453125,128
trained,1,0,40,component_accuracy,shuffled,0.4765625,128
trained,1,0,49,beta_r2,actual,-0.02257220447063446,128
trained,1,0,49,beta_r2,shuffled,-0.08921778202056885,128
trained,1,0,49,component_accuracy,actual,0.5,128
trained,1,0,49,component_accuracy,shuffled,0.5078125,128
trained,1,1,5,beta_r2,actual,0.6276700496673584,128
trained,1,1,5,beta_r2,shuffled,-0.32633134722709656,128
trained,1,1,5,component_accuracy,actual,0.9453125,128
trained,1,1,5,component_accuracy,shuffled,0.4921875,128
trained,1,1,10,beta_r2,actual,0.7144292593002319,128
trained,1,1,10,beta_r2,shuffled,-0.3155885934829712,128
trained,1,1,10,component_accuracy,actual,0.953125,128
trained,1,1,10,component_accuracy,shuffled,0.515625,128
trained,1,1,20,beta_r2,actual,0.6848705410957336,128
trained,1,1,20,beta_r2,shuffled,-0.10688722133636475,128
trained,1,1,20,component_accuracy,actual,0.96875,128
trained,1,1,20,component_accuracy,shuffled,0.4375,128
trained,1,1,30,beta_r2,actual,0.7046838402748108,128
trained,1,1,30,beta_r2,shuffled,-0.1942325085401535,128
trained,1,1,30,component_accuracy,actual,0.9609375,128
trained,1,1,30,component_accuracy,shuffled,0.546875,128
trained,1,1,40,beta_r2,actual,0.6750074625015259,128
trained,1,1,40,beta_r2,shuffled,-0.15635451674461365,128
trained,1,1,40,component_accuracy,actual,0.953125,128
trained,1,1,40,component_accuracy,shuffled,0.484375,128
trained,1,1,49,beta_r2,actual,0.7140348553657532,128
trained,1,1,49,beta_r2,shuffled,-0.19244860112667084,128
trained,1,1,49,component_accuracy,actual,0.9921875,128
trained,1,1,49,component_accuracy,shuffled,0.5,128
